seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0139,gubernatura,DT-03,8.0,13.0,156.0,35.0,18.0,24.0,670.0,,772.0,,22.0,974,0,31,1005,1839,0.5464926590538336
0140,gubernatura,DT-03,4.0,4.0,46.0,24.0,18.0,11.0,447.0,,530.0,,8.0,595,0,19,614,1098,0.5591985428051002
0141,gubernatura,DT-01,3.0,6.0,64.0,15.0,10.0,9.0,497.0,,545.0,,9.0,627,0,20,647,1372,0.4715743440233236
0142,gubernatura,DT-02,4.0,5.0,49.0,8.0,9.0,8.0,228.0,,264.0,,10.0,331,0,14,345,1124,0.3069395017793594
0143,gubernatura,DT-02,5.0,8.0,43.0,33.0,21.0,17.0,693.0,,757.0,,13.0,830,0,73,903,1667,0.5416916616676665
0144,gubernatura,DT-02,12.0,28.0,96.0,27.0,21.0,30.0,1078.0,,1158.0,,40.0,1324,0,39,1363,2335,0.5837259100642398
0145,gubernatura,DT-03,8.0,27.0,78.0,21.0,19.0,17.0,641.0,,708.0,,35.0,838,0,36,874,1559,0.5606157793457345
0146,gubernatura,DT-03,1.0,26.0,145.0,38.0,25.0,22.0,642.0,,766.0,,30.0,963,1,41,1005,1963,0.5119714722363728
0147,gubernatura,DT-03,9.0,22.0,154.0,42.0,29.0,21.0,676.0,,795.0,,31.0,1001,2,44,1047,2060,0.5082524271844661
0148,gubernatura,DT-02,6.0,13.0,79.0,56.0,34.0,34.0,913.0,,1060.0,,19.0,1192,1,24,1217,2364,0.5148054145516074
0149,gubernatura,DT-03,4.0,12.0,59.0,27.0,20.0,16.0,526.0,,629.0,,17.0,721,0,37,758,1358,0.5581737849779087
0150,gubernatura,DT-03,6.0,14.0,41.0,22.0,12.0,15.0,368.0,,434.0,,20.0,510,0,32,542,1172,0.46245733788395904
0151,gubernatura,DT-03,4.0,10.0,92.0,37.0,37.0,22.0,651.0,,782.0,,14.0,910,0,28,938,1800,0.5211111111111111
0152,gubernatura,DT-03,8.0,8.0,114.0,59.0,48.0,45.0,1076.0,,1228.0,,16.0,1403,2,43,1448,2643,0.5478622777147181
0153,gubernatura,DT-02,1.0,3.0,41.0,18.0,7.0,7.0,286.0,,336.0,,6.0,390,0,12,402,769,0.5227568270481144
0154,gubernatura,DT-02,12.0,23.0,70.0,52.0,28.0,19.0,957.0,,1101.0,,35.0,1225,0,28,1253,2515,0.4982107355864811
0155,gubernatura,DT-02,19.0,23.0,128.0,51.0,39.0,38.0,1128.0,,1269.0,,42.0,1477,0,48,1525,2846,0.5358397751229796
