seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0158,diputaciones,DTO-01,29.0,4.0,24.0,12.0,16.0,6.0,402.0,,,414.0,,493,0,23,516,842,0.6128266033254157
0159,diputaciones,DTO-01,42.0,5.0,39.0,31.0,15.0,8.0,496.0,,,537.0,,646,0,43,689,1298,0.5308166409861325
0160,diputaciones,DTO-03,7.0,19.0,125.0,57.0,6.0,23.0,656.0,,,,,893,0,73,966,1722,0.5609756097560976
0161,diputaciones,DTO-01,4.0,14.0,72.0,21.0,12.0,31.0,660.0,,,695.0,,828,0,46,874,1347,0.6488492947290274
0162,diputaciones,DTO-03,4.0,30.0,448.0,161.0,45.0,93.0,1271.0,,,,,2052,0,120,2172,4069,0.5337920865077415
0163,diputaciones,DTO-01,1.0,18.0,96.0,57.0,22.0,14.0,949.0,,,1025.0,,1176,1,48,1225,2268,0.5401234567901234
0164,diputaciones,DTO-03,3.0,22.0,182.0,43.0,15.0,16.0,489.0,,,,,770,0,44,814,1394,0.5839311334289814
0165,diputaciones,DTO-03,2.0,20.0,224.0,65.0,21.0,39.0,670.0,,,,,1041,8,60,1109,2022,0.5484668644906033
0166,diputaciones,DTO-03,5.0,13.0,141.0,45.0,13.0,23.0,609.0,,,,,849,0,62,911,1810,0.5033149171270718
0167,diputaciones,DTO-02,6.0,7.0,37.0,27.0,5.0,16.0,211.0,,,,,309,0,39,348,769,0.45253576072821844
0699,diputaciones,DTO-01,7.0,13.0,108.0,34.0,24.0,58.0,959.0,,,1018.0,,1228,0,88,1316,2153,0.6112401300510915
0700,diputaciones,DTO-01,17.0,16.0,64.0,26.0,22.0,55.0,512.0,,,545.0,,719,0,45,764,1237,0.6176232821341956
0701,diputaciones,DTO-01,13.0,7.0,36.0,11.0,14.0,34.0,374.0,,,389.0,,493,0,33,526,782,0.6726342710997443
0702,diputaciones,DTO-01,12.0,18.0,76.0,26.0,14.0,34.0,499.0,,,535.0,,689,0,40,729,712,1.023876404494382
0703,diputaciones,DTO-01,6.0,21.0,61.0,26.0,26.0,68.0,763.0,,,795.0,,977,1,97,1075,1827,0.5883962780514504
0704,diputaciones,DTO-01,7.0,2.0,90.0,18.0,19.0,46.0,675.0,,,700.0,,864,1,60,925,1534,0.6029986962190352
0705,diputaciones,DTO-01,5.0,3.0,56.0,21.0,28.0,29.0,482.0,,,504.0,,625,0,48,673,1174,0.5732538330494037
0706,diputaciones,DTO-01,7.0,32.0,147.0,36.0,15.0,55.0,800.0,,,863.0,,1119,0,95,1214,2253,0.5388371060807812
0707,diputaciones,DTO-01,14.0,16.0,103.0,32.0,22.0,85.0,975.0,,,1017.0,,1257,1,69,1327,2291,0.5792230467044959
0708,diputaciones,DTO-01,6.0,30.0,101.0,22.0,17.0,28.0,846.0,,,879.0,,1061,0,72,1133,1801,0.6290949472515269
0709,diputaciones,DTO-01,3.0,7.0,43.0,9.0,5.0,5.0,357.0,,,369.0,,432,0,23,455,747,0.6091030789825971
0710,diputaciones,DTO-01,3.0,9.0,117.0,7.0,7.0,28.0,491.0,,,500.0,,664,4,31,699,1226,0.5701468189233279
0711,diputaciones,DTO-01,3.0,11.0,23.0,20.0,10.0,27.0,579.0,,,604.0,,678,0,39,717,1245,0.5759036144578313
0712,diputaciones,DTO-01,2.0,14.0,119.0,35.0,12.0,44.0,759.0,,,803.0,,994,0,85,1079,1693,0.6373301831069108
0713,diputaciones,DTO-01,3.0,11.0,82.0,28.0,20.0,51.0,744.0,,,775.0,,942,0,58,1000,1674,0.5973715651135006
0714,diputaciones,DTO-01,0.0,7.0,94.0,15.0,23.0,48.0,817.0,,,837.0,,1009,13,27,1049,1741,0.6025272831705916
0715,diputaciones,DTO-01,0.0,1.0,1.0,4.0,0.0,1.0,46.0,,,50.0,,53,0,9,62,132,0.4696969696969697
0716,diputaciones,DTO-01,8.0,33.0,119.0,17.0,20.0,22.0,781.0,,,802.0,,1004,0,58,1062,1799,0.5903279599777654
0717,diputaciones,DTO-01,5.0,13.0,74.0,13.0,17.0,53.0,301.0,,,317.0,,479,0,33,512,960,0.5333333333333333
0718,diputaciones,DTO-01,4.0,16.0,87.0,18.0,11.0,50.0,704.0,,,738.0,,906,0,39,945,1525,0.6196721311475409
0719,diputaciones,DTO-01,5.0,15.0,174.0,28.0,13.0,43.0,711.0,,,749.0,,999,0,35,1034,1684,0.6140142517814727
0720,diputaciones,DTO-01,8.0,5.0,124.0,17.0,12.0,41.0,642.0,,,665.0,,855,0,51,906,1622,0.5585696670776819
0721,diputaciones,DTO-01,2.0,8.0,88.0,23.0,13.0,51.0,640.0,,,667.0,,829,0,47,876,1531,0.5721750489875899
0722,diputaciones,DTO-01,11.0,18.0,98.0,24.0,21.0,109.0,937.0,,,964.0,,1221,0,62,1283,2383,0.5383969785984054
0723,diputaciones,DTO-01,10.0,19.0,138.0,29.0,35.0,99.0,848.0,,,885.0,,1186,0,74,1260,2307,0.5461638491547465
0726,diputaciones,DTO-01,4.0,7.0,34.0,15.0,17.0,19.0,737.0,,,757.0,,838,1,40,879,1706,0.515240328253224
0727,diputaciones,DTO-01,11.0,20.0,167.0,34.0,14.0,133.0,1226.0,,,1267.0,,1612,0,70,1682,2983,0.5638618840093865
0728,diputaciones,DTO-01,9.0,17.0,149.0,43.0,15.0,71.0,673.0,,,734.0,,995,1,42,1038,1599,0.649155722326454
0729,diputaciones,DTO-01,10.0,24.0,166.0,52.0,33.0,115.0,1286.0,,,1350.0,,1698,0,105,1803,3014,0.5982083609820836
0731,diputaciones,DTO-01,2.0,9.0,127.0,38.0,20.0,153.0,872.0,,,958.0,,1269,0,72,1341,2150,0.6237209302325581
0732,diputaciones,DTO-01,2.0,7.0,64.0,17.0,14.0,34.0,334.0,,,353.0,,474,0,20,494,802,0.6159600997506235
0733,diputaciones,DTO-01,8.0,14.0,130.0,41.0,33.0,147.0,943.0,,,986.0,,1318,0,91,1409,2401,0.5868388171595169
0736,diputaciones,DTO-01,3.0,7.0,68.0,36.0,12.0,119.0,910.0,,,958.0,,1167,0,43,1210,1707,0.7088459285295841
1199,diputaciones,DTO-01,8.0,40.0,139.0,29.0,24.0,69.0,682.0,,,722.0,,1002,0,59,1061,1954,0.5429887410440123
1200,diputaciones,DTO-01,4.0,25.0,181.0,33.0,24.0,54.0,645.0,,,688.0,,976,0,43,1019,2185,0.4663615560640732
1201,diputaciones,DTO-01,7.0,4.0,130.0,14.0,15.0,67.0,365.0,,,380.0,,603,1,39,643,1054,0.610056925996205
